concept_id,deu,swe
381,bant,banːd
382,kam,kamː
383,ʃpiːɡəl,speːɡəl
384,ʁiːmən,rɛmː
385,ʃnuːɐ̯,snœːrə
386,laɪ̯nə,liːna
387,dɛkə,tɛkːə
388,kɪsən,dyːna
388,kɪsən,kɵdːə
389,tuːχ,ɧɑːl
390,hantuːχ,hanːdɵk
391,kʁaft,krafːt
392,ʃtɛɐ̯kə,stʏrːka
393,ɡəzʊndhaɪ̯t,hɛlːsa
394,kʁaŋkhaɪ̯t,ɧɵkːdɔm
395,ʃmɛɐ̯t͡s,smæːʈa
396,vʊndə,soːr
397,fiːbɐ,feːbər
398,aɐ̯t͡snaɪ̯,meːdɪsɪn
398,aɐ̯t͡snaɪ̯,lɛːɕɛmɛdəl
399,bʁʏkə,bruː
400,bʁʊnən,brɵnː
401,vaɪ̯də,beːtə
402,p͡faːt,stiːɡ
403,veːk,vɛːɡ
404,ʃtʁaːsə,ɡɑːta
405,dɔɐ̯f,byː
406,ʃtat,stɑːd
407,bʁiːf,breːv
408,buːχ,buːk
409,bʊkstaːbə,bɔkːstav
410,t͡saɪ̯tʊŋ,tiːdnɪŋ
411,leːbən,liːv
412,toːt,døːd
413,ɡʁaːp,ɡrɑːv
414,kɪɐ̯çə,ɕʏrːka
415,zʏndə,sʏnːd
416,ɡɔt,ɡʉːd
417,aɐ̯baɪ̯tɐ,arːbɛtarə
418,ʃɛf,ɧeːf
419,maɪ̯stɐ,mɛsːtarə
420,aɐ̯t͡st,lɛːkarə
421,leːʁɐ,læːrarə
422,ɡɛlt,pɛŋːar
423,ɡəʃɛft,rœːrɛlsə
424,laːdən,affːær
425,pʁaɪ̯s,priːs
426,vaːʁə,vɑːra
427,nʊt͡sən,ɡaŋːn
427,nʊt͡sən,nʏtːa
428,ʁaɪ̯çtuːm,riːɕɛdɔm
429,vɛlt,væɭːd
430,lant,lanːd
431,ʃtaːt,stɑːt
432,køːnɪç,kɵŋː
432,køːnɪç,kuːnɵŋ
433,maχt,makːt
434,ɡʁɛnt͡sə,ɡrɛnːs
435,kʁɪç,kriːɡ
436,faɪ̯nt,fiːɛndə
437,ɡəvalt,vɔlːd
438,kamp͡f,kamːp
438,kamp͡f,striːd
439,boːɡən,boːɡə
440,p͡faɪ̯l,piːl
441,ɡeːveːʁ,jeːvær
442,feːlɐ,feːl
443,lyːɡə,løŋːn
444,ʃaːdən,skɑːda
445,ʊŋlʏk,uːtɵr
445,ʊŋlʏk,uːlʏka
446,ʃʊlt,skɵlːd
