lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
ukr,459,літо,lʲitɔ,validate
ukr,460,осінь,ɔsʲinʲ,validate
ukr,461,зима,zɪmɑ,validate
ukr,462,січень,sʲiʈ͡ʂɛnʲ,validate
ukr,463,лютий,lʲutɪj,validate
ukr,464,березень,bɛrɛzɛnʲ,validate
ukr,465,квітень,kvitɛnʲ,validate
ukr,466,травень,trɑwɛnʲ,validate
ukr,467,червень,ʈ͡ʂɛrwɛnʲ,validate
ukr,468,липень,lɪpɛnʲ,validate
ukr,469,серпень,sɛrpɛnʲ,validate
ukr,470,вересень,wɛrɛsɛnʲ,validate
ukr,471,жовтень,ʐɔwtɛnʲ,validate
ukr,472,листопад,lɪstɔpɑd,validate
ukr,473,грудень,ɦrudɛnʲ,validate
ukr,474,понеділок,pɔnɛdʲilɔk,validate
ukr,475,вівторок,viwtɔrɔk,validate
ukr,476,середа,sɛrɛdɑ,validate
ukr,477,четвер,ʈ͡ʂɛtwɛr,validate
ukr,478,п’ятниця,pjɑtnɪt͡sʲɑ,validate
ukr,479,субота,subɔtɑ,validate
ukr,480,неділя,nɛdʲilʲɑ,validate
ukr,481,великий,wɛlɪkɪj,validate
ukr,482,малий,mɑlɪj,validate
ukr,482,маленький,mɑlɛnʲkɪj,validate
ukr,483,довгий,dɔwɦɪj,validate
ukr,484,короткий,kɔrɔtkɪj,validate
ukr,485,широкий,ʂɪrɔkɪj,validate
ukr,486,вузький,wuzʲkɪj,validate
ukr,487,густий,ɦustɪj,validate
ukr,488,товстий,tɔwstɪj,validate
ukr,489,тонкий,tɔnkɪj,validate
ukr,490,дрібний,drʲibnɪj,validate
ukr,491,міцний,mit͡snɪj,validate
ukr,492,плоский,plɔskɪj,validate
ukr,493,рівний,rʲiwnɪj,validate
ukr,493,гладенький,ɦlɑdɛnʲkɪj,validate
ukr,494,твердий,twɛrdɪj,validate
ukr,495,м’який,mjɑkɪj,validate
ukr,496,круглий,kruɦlɪj,validate
ukr,497,гострокінцевий,ɦɔstrɔkint͡sɛwɪj,validate
ukr,498,гострий,ɦɔstrɪj,validate
ukr,499,тупий,tupɪj,validate
ukr,500,важкий,wɑʐkɪj,validate
ukr,501,вродливий,wrɔdlɪwɪj,validate
ukr,502,жаркий,ʐɑrkɪj,validate
ukr,502,гарячий,ɦɑrʲɑʈ͡ʂɪj,validate
ukr,503,теплий,tɛplɪj,validate
ukr,504,холодний,xɔlɔdnɪj,validate
ukr,505,прохолодний,prɔxɔlɔdnɪj,validate
ukr,506,свіжий,sviʐɪj,validate
ukr,507,вогкий,wɔɦkɪj,validate
ukr,508,мокрий,mɔkrɪj,validate
ukr,509,сухий,suxɪj,validate
ukr,510,повний,pɔwnɪj,validate
ukr,511,пустий,pustɪj,validate
ukr,512,відкритий,vidkrɪtɪj,validate
ukr,513,закритий,zɑkrɪtɪj,validate
ukr,513,зачинений,zɑʈ͡ʂɪnɛnɪj,validate
ukr,514,чистий,ʈ͡ʂɪstɪj,validate
ukr,514,охайний,ɔxɑjnɪj,validate
ukr,515,брудний,brudnɪj,validate
ukr,516,сирий,sɪrɪj,validate
ukr,517,зрілий,zrʲilɪj,validate
ukr,518,смачний,smɑʈ͡ʂnɪj,validate
ukr,519,солодкий,sɔlɔdkɪj,validate
ukr,520,гіркий,ɦjirkɪj,validate
ukr,521,кислий,kɪslɪj,validate
ukr,522,світлий,svitlɪj,validate
ukr,523,темний,tɛmnɪj,validate
ukr,524,чорний,ʈ͡ʂɔrnɪj,validate
ukr,525,сивий,sɪwɪj,validate
ukr,526,червоний,ʈ͡ʂɛrwɔnɪj,validate
ukr,527,жовтий,ʐɔwtɪj,validate
ukr,528,синій,sɪnʲij,validate
ukr,529,зелений,zɛlɛnɪj,validate
ukr,530,сірий,sʲirɪj,validate
ukr,531,барвистий,bɑrwɪstɪj,validate
ukr,532,дешевий,dɛʂɛwɪj,validate
ukr,533,дорогий,dɔrɔɦɪj,validate
ukr,534,цінний,t͡sʲinːɪj,validate
ukr,535,сліпий,slʲipɪj,validate
ukr,536,глухий,ɦluxɪj,validate
ukr,537,могутній,mɔɦutnʲij,validate
ukr,538,сильний,sɪlʲnɪj,validate
ukr,539,слабкий,slɑbkɪj,validate
ukr,540,жирний,ʐɪrnɪj,validate
ukr,540,товстий,tɔwstɪj,validate
ukr,541,тонкий,tɔnkɪj,validate
ukr,541,стрункий,strunkɪj,validate
ukr,542,чарівний,ʈ͡ʂɑrʲiwnɪj,review
ukr,543,злий,zlɪj,validate
ukr,543,лихий,lɪxɪj,validate
ukr,544,дурний,durnɪj,validate
ukr,545,ледачий,lɛdɑʈ͡ʂɪj,validate
ukr,546,старанний,stɑrɑnːɪj,validate
ukr,547,скупий,skupɪj,validate
ukr,548,мудрий,mudrɪj,validate
ukr,548,розумний,rɔzumnɪj,validate
ukr,549,умілий,umilɪj,validate
ukr,550,милий,mɪlɪj,validate
ukr,551,веселий,wɛsɛlɪj,validate
ukr,552,лагідний,lɑɦjidnɪj,validate
ukr,553,голодний,ɦɔlɔdnɪj,validate
ukr,554,слабий,slɑbɪj,validate
ukr,555,голий,ɦɔlɪj,validate
ukr,556,сумний,sumnɪj,validate
ukr,557,живий,ʐɪwɪj,validate
ukr,558,добрий,dɔbrɪj,validate
ukr,559,поганий,pɔɦɑnɪj,validate
ukr,559,кепський,kɛpsʲkɪj,validate
ukr,560,правильний,prɑwɪlʲnɪj,validate
